#TYPE VMware.VimAutomation.ViCore.Impl.V1.VM.UniversalVirtualMachineImpl
"Name","PowerState","Notes","Guest","NumCpu","CoresPerSocket","MemoryMB","MemoryGB","VMHostId","VMHost","VApp","FolderId","Folder","ResourcePoolId","ResourcePool","HARestartPriority","HAIsolationResponse","DrsAutomationLevel","VMSwapfilePolicy","VMResourceConfiguration","Version","PersistentId","GuestId","UsedSpaceGB","ProvisionedSpaceGB","DatastoreIdList","ExtensionData","CustomFields","Id","Uid","Client"
"SE-BG-ANALYTICS","PoweredOn","","SE-BG-ANALYTICS:Microsoft Windows Server 2012 (64-bit)","8","1","16384","16","HostSystem-host-212","esx-sec-02.deltabank.co.yu",,"Folder-group-v22","vm","ResourcePool-resgroup-51","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/1000 MemShares:Normal/40960","v10","502c1004-5d2a-2a05-2536-c18439438af8","windows8Server64Guest","1066.1492212014272809028625488","1066.1492226142436265945434570","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-16087","/VIServer=deltabank\admin_kaleksandar@bib-vcentar-01:443/VirtualMachine=VirtualMachine-vm-16087/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"SwiftCommUAT","PoweredOn","","SwiftCommUAT:Microsoft Windows Server 2012 (64-bit)","4","1","4096","4","HostSystem-host-21952","test-esx-02.deltabank.co.yu",,"Folder-group-v27","vm","ResourcePool-resgroup-21950","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/4000 MemShares:Normal/81920","v10","502c455f-bde9-2bed-6cf6-bc9a8eab4814","windows8Server64Guest","84.11128146015107631683349609","84.11128200776875019073486328","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-16544","/VIServer=deltabank\admin_kaleksandar@bib-vcentar-01:443/VirtualMachine=VirtualMachine-vm-16544/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"EcaonlineTest","PoweredOn","","EcaonlineTest:Microsoft Windows Server 2012 (64-bit)","2","2","2048","2","HostSystem-host-21952","test-esx-02.deltabank.co.yu",,"Folder-group-v27","vm","ResourcePool-resgroup-21950","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/20480","v10","502c98b3-f3e1-8e5a-2c63-25a9bf07f348","windows8Server64Guest","34.133215107955038547515869141","34.133215655572712421417236328","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-5202","/VIServer=deltabank\admin_kaleksandar@bib-vcentar-01:443/VirtualMachine=VirtualMachine-vm-5202/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"Proprint","PoweredOn","","Proprint:Microsoft Windows Server 2003 Standard (32-bit)","2","1","1024","1","HostSystem-host-21952","test-esx-02.deltabank.co.yu",,"Folder-group-v27","vm","ResourcePool-resgroup-21950","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/10240","v10","500ae2eb-5706-54f8-dde2-0c5a116f87ab","winNetStandardGuest","41.112308032810688018798828125","41.112309155985713005065917969","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-38","/VIServer=deltabank\admin_kaleksandar@bib-vcentar-01:443/VirtualMachine=VirtualMachine-vm-38/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"ICT-070-3770","PoweredOn","","ICT-070-3770:Microsoft Windows 7 (32-bit)","2","2","4096","4","HostSystem-host-21952","test-esx-02.deltabank.co.yu",,"Folder-group-v27","vm","ResourcePool-resgroup-21950","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/20480","v10","502c5ca0-69e0-8563-4f90-e0a604ee9989","windows7Guest","54.127204048447310924530029297","54.127204687334597110748291016","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-6867","/VIServer=deltabank\admin_kaleksandar@bib-vcentar-01:443/VirtualMachine=VirtualMachine-vm-6867/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"EraserTest","PoweredOn","","EraserTest:Microsoft Windows Server 2012 (64-bit)","2","2","2048","2","HostSystem-host-21952","test-esx-02.deltabank.co.yu",,"Folder-group-v27","vm","ResourcePool-resgroup-21950","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/20480","v10","502cce96-1683-bd66-fd08-11e63b91760d","windows8Server64Guest","82.13834652025252580642700195","82.13834760803729295730590820","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-5201","/VIServer=deltabank\admin_kaleksandar@bib-vcentar-01:443/VirtualMachine=VirtualMachine-vm-5201/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"mobi-corp-test","PoweredOn","","mobi-corp-test:Microsoft Windows Server 2012 (64-bit)","2","1","4096","4","HostSystem-host-21952","test-esx-02.deltabank.co.yu",,"Folder-group-v27","vm","ResourcePool-resgroup-21950","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/40960","v10","502c8837-6897-6224-2dfc-5f4b4d9483c4","windows8Server64Guest","44.129391096532344818115234375","44.129391646943986415863037109","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-22687","/VIServer=deltabank\admin_kaleksandar@bib-vcentar-01:443/VirtualMachine=VirtualMachine-vm-22687/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"MWG-TEST-PC","PoweredOff","","MWG-TEST-PC:Microsoft Windows 7 (32-bit)","2","2","2048","2","HostSystem-host-21952","test-esx-02.deltabank.co.yu",,"Folder-group-v27","vm","ResourcePool-resgroup-21950","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/20480","v10","502c174d-c4d9-214e-5d0b-df952fe17b6f","windows7Guest","40.004088725894689559936523438","42.267066962085664272308349610","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-16088","/VIServer=deltabank\admin_kaleksandar@bib-vcentar-01:443/VirtualMachine=VirtualMachine-vm-16088/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"MWG-TEST","PoweredOff","Test okru?enje","MWG-TEST:","2","2","4096","4","HostSystem-host-21952","test-esx-02.deltabank.co.yu",,"Folder-group-v27","vm","ResourcePool-resgroup-21950","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/1000 MemShares:Normal/20480","v10","502c402e-f206-1e50-9cc8-f10db37fcfb6","centos64Guest","26.855320656672120094299316406","44.248688993044197559356689453","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-16086","/VIServer=deltabank\admin_kaleksandar@bib-vcentar-01:443/VirtualMachine=VirtualMachine-vm-16086/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"ICT-070-3782","PoweredOn","","ICT-070-3782:Microsoft Windows 7 (32-bit)","2","2","4096","4","HostSystem-host-21952","test-esx-02.deltabank.co.yu",,"Folder-group-v27","vm","ResourcePool-resgroup-21950","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/20480","v10","502c9cf0-22a4-babb-f126-d698dd995490","windows7Guest","54.125225617550313472747802734","54.125226256437599658966064453","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-6868","/VIServer=deltabank\admin_kaleksandar@bib-vcentar-01:443/VirtualMachine=VirtualMachine-vm-6868/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"ubs-kib-test","PoweredOn","","ubs-kib-test:Microsoft Windows Server 2012 (64-bit)","2","2","4096","4","HostSystem-host-21952","test-esx-02.deltabank.co.yu",,"Folder-group-v27","vm","ResourcePool-resgroup-21950","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/40960","v10","502c0d14-f6da-db25-f989-e7fa52a77c6f","windows8Server64Guest","44.455924069508910179138183594","44.455924708396196365356445313","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-21940","/VIServer=deltabank\admin_kaleksandar@bib-vcentar-01:443/VirtualMachine=VirtualMachine-vm-21940/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"Stanica-Win10","PoweredOn","","Stanica-Win10:Microsoft Windows 8 (64-bit)","2","2","4096","4","HostSystem-host-271","test-esx-01.deltabank.co.yu",,"Folder-group-v27","vm","ResourcePool-resgroup-21950","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/40960","v10","502c0f42-19c6-1061-133c-c050ee338600","windows8_64Guest","53.666335562244057655334472656","88.11848489008843898773193359","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-23272","/VIServer=deltabank\admin_kaleksandar@bib-vcentar-01:443/VirtualMachine=VirtualMachine-vm-23272/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"acs_pix_mig","PoweredOn","","acs_pix_mig:Microsoft Windows Server 2003 Standard (32-bit)","1","1","2048","2","HostSystem-host-271","test-esx-01.deltabank.co.yu",,"Folder-group-v27","vm","ResourcePool-resgroup-21950","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/1000 MemShares:Normal/20480","v10","502ca5b5-89cd-d9a9-5e03-0358215b18b1","winLonghornGuest","27.110503716394305229187011719","27.110504281707108020782470703","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-21835","/VIServer=deltabank\admin_kaleksandar@bib-vcentar-01:443/VirtualMachine=VirtualMachine-vm-21835/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"BgdPrnTest","PoweredOn","","BgdPrnTest:Microsoft Windows Server 2008 R2 (64-bit)","4","4","8192","8","HostSystem-host-271","test-esx-01.deltabank.co.yu",,"Folder-group-v27","vm","ResourcePool-resgroup-21950","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/4000 MemShares:Normal/81920","v10","502c3bde-fe33-09fa-1f97-50ef3c6c5975","windows7Server64Guest","565.12737615313380956649780273","565.12737940996885299682617187","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-21944","/VIServer=deltabank\admin_kaleksandar@bib-vcentar-01:443/VirtualMachine=VirtualMachine-vm-21944/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"ELEARNING-TEST","PoweredOn","","ELEARNING-TEST:Microsoft Windows Server 2008 R2 (64-bit)","2","2","4096","4","HostSystem-host-271","test-esx-01.deltabank.co.yu",,"Folder-group-v27","vm","ResourcePool-resgroup-21950","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/20480","v10","500a68f0-9df1-153a-8c60-48ab7d8886b4","windows7Server64Guest","54.241083106026053428649902344","54.241083748638629913330078125","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-41","/VIServer=deltabank\admin_kaleksandar@bib-vcentar-01:443/VirtualMachine=VirtualMachine-vm-41/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"XenApp-089","PoweredOn","","XenApp-089:Microsoft Windows Server 2003 Standard (32-bit)","2","1","4096","4","HostSystem-host-23260","bib-vwpap-a06.fbisp.eu",,"Folder-group-v5","vm","ResourcePool-resgroup-12","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/40960","v10","501d6b33-426f-ed4d-2f2c-b7c62719efb3","winNetStandardGuest","34.822333460673689842224121094","34.822334025055170059204101563","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-809","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-809/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"XenApp-011","PoweredOn","","XenApp-011:Microsoft Windows Server 2003 Standard (32-bit)","2","1","4096","4","HostSystem-host-23260","bib-vwpap-a06.fbisp.eu",,"Folder-group-v5","vm","ResourcePool-resgroup-12","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/40960","v10","501d3d56-58f0-2751-eff6-3f7fd293ad60","winNetStandardGuest","34.824762902222573757171630859","34.824763466604053974151611328","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-767","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-767/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"XenApp-104","PoweredOn",,"XenApp-104:Microsoft Windows Server 2003 Standard (32-bit)","2","1","4096","4","HostSystem-host-23260","bib-vwpap-a06.fbisp.eu",,"Folder-group-v5","vm","ResourcePool-resgroup-12","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/40960","v10","501d29b5-a625-7841-3d47-a526e8cfec60","winNetStandardGuest","34.826358287595212459564208984","34.826358794234693050384521484","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-1064","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-1064/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"XenApp-075","PoweredOn",,"XenApp-075:Microsoft Windows Server 2003 Standard (32-bit)","2","1","4096","4","HostSystem-host-23260","bib-vwpap-a06.fbisp.eu",,"Folder-group-v5","vm","ResourcePool-resgroup-12","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/40960","v10","501d6474-5a94-c4c6-918c-87c1a1875d02","winNetStandardGuest","34.818759195506572723388671875","34.818759702146053314208984375","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-1053","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-1053/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"XenApp-081","PoweredOn","","XenApp-081:Microsoft Windows Server 2003 Standard (32-bit)","2","1","4096","4","HostSystem-host-23260","bib-vwpap-a06.fbisp.eu",,"Folder-group-v5","vm","ResourcePool-resgroup-12","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/40960","v10","501df949-800c-32fa-2842-36c4e9550cae","winNetStandardGuest","34.82206232845783233642578125","34.822062892839312553405761719","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-808","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-808/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"XenApp-087","PoweredOn",,"XenApp-087:Microsoft Windows Server 2003 Standard (32-bit)","2","1","4096","4","HostSystem-host-23260","bib-vwpap-a06.fbisp.eu",,"Folder-group-v5","vm","ResourcePool-resgroup-12","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/40960","v10","501dfa66-b18d-4df5-408b-875d9b640d4f","winNetStandardGuest","34.807748680934309959411621094","34.807749187573790550231933594","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-1080","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-1080/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"XenApp-095","PoweredOn","","XenApp-095:Microsoft Windows Server 2003 Standard (32-bit)","2","1","4096","4","HostSystem-host-23260","bib-vwpap-a06.fbisp.eu",,"Folder-group-v5","vm","ResourcePool-resgroup-12","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/40960","v10","501dcccf-28db-4758-e8c4-0198a07440b6","winNetStandardGuest","34.821684361435472965240478516","34.821684925816953182220458985","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-833","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-833/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"XenApp-021","PoweredOn","","XenApp-021:Microsoft Windows Server 2003 Standard (32-bit)","2","1","4096","4","HostSystem-host-23260","bib-vwpap-a06.fbisp.eu",,"Folder-group-v5","vm","ResourcePool-resgroup-12","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/40960","v10","501d7f55-b699-ed42-4957-b16922b2d58d","winNetStandardGuest","34.832962322980165481567382812","34.832962887361645698547363281","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-800","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-800/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"XenApp-002","PoweredOn","","XenApp-002:Microsoft Windows Server 2003 Standard (32-bit)","2","1","4096","4","HostSystem-host-23260","bib-vwpap-a06.fbisp.eu",,"Folder-group-v23","Discovered virtual machine","ResourcePool-resgroup-12","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/40960","v10","501d543b-0d9b-1dba-c38f-28eee80c1c9d","winNetStandardGuest","34.828264934010803699493408203","34.828265498392283916473388672","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-758","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-758/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"XenApp-121","PoweredOn",,"XenApp-121:Microsoft Windows Server 2003 Standard (32-bit)","2","1","4096","4","HostSystem-host-23260","bib-vwpap-a06.fbisp.eu",,"Folder-group-v5","vm","ResourcePool-resgroup-12","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/40960","v10","521513fd-9b93-412c-c09a-fa5020d6b042","winNetStandardGuest","34.125375529751181602478027344","34.125376014970242977142333985","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-1089","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-1089/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"XenApp-100","PoweredOn",,"XenApp-100:Microsoft Windows Server 2003 Standard (32-bit)","2","1","4096","4","HostSystem-host-23260","bib-vwpap-a06.fbisp.eu",,"Folder-group-v5","vm","ResourcePool-resgroup-12","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/40960","v10","501dc8f2-7c28-d5fc-1e1d-779b9710a01d","winNetStandardGuest","34.824315632693469524383544922","34.824316139332950115203857422","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-1067","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-1067/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"XenApp-079","PoweredOn","","XenApp-079:Microsoft Windows Server 2003 Standard (32-bit)","2","1","4096","4","HostSystem-host-23260","bib-vwpap-a06.fbisp.eu",,"Folder-group-v5","vm","ResourcePool-resgroup-12","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/40960","v10","501da450-c7a2-447b-0d9d-c7c760350f98","winNetStandardGuest","34.821612866595387458801269531","34.821613430976867675781250000","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-807","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-807/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"XenApp-044","PoweredOn","","XenApp-044:Microsoft Windows Server 2003 Standard (32-bit)","2","1","4096","4","HostSystem-host-23260","bib-vwpap-a06.fbisp.eu",,"Folder-group-v23","Discovered virtual machine","ResourcePool-resgroup-12","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/40960","v10","501dbfa6-8587-6448-a8d0-cf952474fcb3","winNetStandardGuest","34.821943535469472408294677734","34.821944099850952625274658203","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-791","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-791/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"XenApp-DB1","PoweredOn","","XenApp-DB1:Microsoft Windows Server 2003 Standard (32-bit)","2","1","4096","4","HostSystem-host-23260","bib-vwpap-a06.fbisp.eu",,"Folder-group-v5","vm","ResourcePool-resgroup-12","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/40960","v10","501d2bf0-4983-ac2f-2f89-21da07f1e994","winNetStandardGuest","34.829567189328372478485107422","34.829567753709852695465087891","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-1084","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-1084/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"XenApp-117","PoweredOn","","XenApp-117:Microsoft Windows Server 2003 Standard (32-bit)","2","1","4096","4","HostSystem-host-23260","bib-vwpap-a06.fbisp.eu",,"Folder-group-v5","vm","ResourcePool-resgroup-12","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/40960","v10","501db188-0ed8-15d7-299e-572c86f582f9","winNetStandardGuest","34.823332994244992733001708984","34.823333558626472949981689453","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-822","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-822/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"XenApp-048","PoweredOn","","XenApp-048:Microsoft Windows Server 2003 Standard (32-bit)","2","1","4096","4","HostSystem-host-23260","bib-vwpap-a06.fbisp.eu",,"Folder-group-v5","vm","ResourcePool-resgroup-12","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/40960","v10","501d42a7-7289-542f-39c9-621d0a33bde8","winNetStandardGuest","34.829078425653278827667236328","34.829078990034759044647216797","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-860","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-860/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"XenApp-003","PoweredOn","","XenApp-003:Microsoft Windows Server 2003 Standard (32-bit)","2","1","4096","4","HostSystem-host-23260","bib-vwpap-a06.fbisp.eu",,"Folder-group-v23","Discovered virtual machine","ResourcePool-resgroup-12","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/40960","v10","500bbf6d-929a-e247-c1c0-99ec95359784","winNetStandardGuest","34.80253978073596954345703125","34.802540416829288005828857422","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-251624","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-251624/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
